,Methodology,Application,Problem,Contribution,AI Method,Security,Privacy,Allocation,Metric,Technology,TRLE,UNSD Code,Communication,Evaluation,Blockchain,Consensus,Permission,Type,Chain,Reward
Methodology,0.0,-5.898059818321144e-16,-1.0894063429134349e-15,-6.661338147750939e-16,-5.551115123125783e-17,-5.412337245047638e-16,-7.632783294297951e-17,-2.42861286636753e-17,-8.187894806610529e-16,-3.0912772341906702e-15,6.938893903907228e-17,-3.885780586188048e-16,-7.355227538141662e-16,-9.367506770274758e-17,-6.210310043996969e-16,-7.008282842946301e-16,-7.979727989493313e-17,-1.214306433183765e-16,1.1796119636642288e-16,-1.3877787807814457e-16
Application,-5.84601811404184e-17,0.0,0.06777655392449142,0.04733189388773793,-0.009958116971984551,0.08634330889990745,0.014557318148551083,0.02190777895215549,0.026341257220614606,0.3242796313179613,0.00138163400146053,0.10466996835798252,0.08432537327278686,0.007848270974097838,-0.014960143192739106,0.01253427576490709,0.02256008722194873,0.02648729217291989,-0.0008276920434176959,0.006945921349113723
Problem,-1.5880464106419825e-16,0.09682364846355918,0.0,0.15509340373289407,-0.04312122896485042,0.2600832526907736,0.0875898188198687,-0.024400025659697035,0.07805272452944813,0.785662456863595,-0.027028742098942564,0.13125601901401304,0.16003825731269936,-0.006896716979303351,0.05844692707054959,0.061791720549849403,0.01861838140506202,0.005918932398869848,-0.012999825222382643,0.011829476223004981
Contribution,-1.3496148643099559e-16,0.09466378777547585,0.21713076522605163,0.0,0.011385871548751099,0.20755278118247705,-0.0044254575978289025,0.050908075006192155,0.08655942442102708,0.40056627546914625,-0.019200475948416833,0.06898978444651507,0.13139227733350814,0.0047293884071642495,0.009398598808853664,0.0658790539655731,0.024154336454674154,0.019560387007428008,-0.0068457533418027905,0.042996281160494546
AI Method,-1.2847795743953228e-17,-0.024895292429961385,-0.07546215068848823,0.014232339435938865,0.0,-0.1324798241654936,-0.01996666079758371,0.11996773096899951,0.16099823644787137,-0.23645662511166843,-0.01316225926320053,0.018865149625334504,-0.016812278807437665,-0.02850192795283834,0.031275758028535314,0.019849428235780807,-0.03470983348735559,-0.0335763041151153,-0.002139193727819358,0.05018414960880528
Security,-9.078386190945291e-17,0.14390551483317907,0.3034304614725692,0.1729606509853975,-0.08831988277699572,0.0,0.1775433655788828,-0.1319052023520795,-0.014235528841967863,0.47262051434997404,-0.008566576165946081,0.04928131976393432,0.1739332487850931,0.005040618773836339,0.03467582802595821,0.08538757422886434,0.06785962116969822,0.052013413137439735,0.021901686036896826,-0.0023241218685562345
Privacy,-1.2927025902711783e-17,0.022395874074693973,0.09432749719062784,-0.0034041981521760693,-0.012287175875436127,0.16388618361127644,0.0,-0.06720997033156738,-0.026167355374535597,-0.11291756088837436,-0.020305160853765422,0.04192480952645329,-0.016310952220200313,0.0007681297265433122,0.002046477740937919,-0.05973647919779408,0.014854872806018929,0.006846969821650483,0.014461688112954917,-0.023479885024071966
Allocation,-8.425799740458777e-18,0.06259365414901569,-0.048800051319394064,0.07272582143741736,0.13710597825028514,-0.22612320403213634,-0.1248185163300537,0.0,-0.033893056726704306,-0.10583392344308166,-0.05575395966056825,0.0336054109296561,0.01092329646647842,-0.023257247597989462,-0.047239596362440774,-0.020553646850875858,-0.025585432101529467,-0.04404280032867153,-0.02889543436439873,0.08990824889071126
Metric,-5.873278054378618e-17,0.018815183729010424,0.03902636226472409,0.030914080150366823,0.045999496127963266,-0.0061009409322719385,-0.01214912928103438,-0.00847326418167608,0.0,0.10168744479336655,-0.00018300851994498897,0.009093898243463258,0.02964845320505766,0.003271458051632999,0.026269707466793666,0.06712512161690129,-0.005326982614675816,-0.004446228023561528,-0.021104420294525045,0.004839002457012415
Technology,-8.233489903377758e-17,0.08764314359944902,0.1486388431904098,0.054130577766100856,-0.025562878390450634,0.07664116448918497,-0.019836868804714462,-0.010011317082453662,0.038476330462354894,0.0,-0.000931010163591756,0.06150923552960275,0.24276783734931603,0.012182196558647291,0.06981456954694966,0.057221163189287785,0.02511828852775083,0.02415556314787568,-0.010825711646875088,-0.004427079875757708
