,Methodology,Application,Problem,Contribution,AI Method,Security,Privacy,Allocation,Metric,Technology,TRLE,UNSD Code,Communication,Evaluation,Blockchain,Consensus,Permission,Type,Chain,Reward
Methodology,0.5,0.014357516002398363,0.04474680293453157,0.03357911375960625,0.044797835795727534,0.06481509434306,0.004718600219608822,0.09922882158088127,0.02435669233648593,0.013931705518799823,0.04123421940152266,0.04428742662519224,0.006242520978992669,0.05257298299657777,0.0009351082874914741,0.004210755716655868,4.303593264211575e-10,0.028678227176022697,9.697920463080318e-10,0.05588578343804059
Application,0.014357516002398369,0.17804406366613462,0.09621097595216549,0.08827585863969314,0.12298564946194586,0.0766817019796815,0.11361456373886772,0.08473350284806348,0.09729472799522328,0.12671338620486128,0.0754246691468832,0.07199642324264281,0.14431886534109672,0.007096914930271511,0.09936970314173299,0.10823154301439201,0.01755038205443858,0.10510365262693941,0.07546448243795073,0.11928283550471327
Problem,0.04474680293453157,0.09621097595216548,0.14244954165743787,0.049265449260035586,0.08354374833435459,0.06672343342554854,0.08420974690412773,0.06325234994990028,0.06558379378267519,0.10427551092445946,0.08038121623633489,0.07601831398088435,0.11198984437842947,0.030207036908983066,0.10680500251187687,0.10296541105645345,0.005024920808818104,0.08935717765857297,0.08521325295299752,0.08590009442287928
Contribution,0.03357911375960625,0.08827585863969314,0.049265449260035586,0.14524354547052218,0.07822919672309199,0.05931075311271511,0.052449026521524035,0.07527234199871961,0.07681908091530174,0.0509281246243307,0.05548855043766876,0.03286946358326019,0.06594523552040503,0.01732415587762783,0.040830326373628385,0.04319021253795945,0.04547419612675043,0.08620456444609728,0.056020854743081404,0.05673971914243135
AI Method,0.044797835795727534,0.12298564946194585,0.08354374833435457,0.078229196723092,0.22127757321954575,0.08527760515771607,0.09668402927274111,0.10275964020404818,0.11104779442387244,0.08744333171265592,0.06029777188736607,0.05039368352237159,0.0946931586721767,0.11261919356779389,0.04007819138462154,0.05632006529508654,0.05187145804350897,0.0680277410691479,0.030931792767804434,0.10885708004749095
Security,0.06481509434305997,0.07668170197968148,0.06672343342554853,0.05931075311271513,0.08527760515771605,0.15909518978588474,0.07051100986042921,0.1267523658870871,0.07826321150770484,0.03306762289868153,0.034802810483471704,0.038772358417539725,0.05424423321669205,0.08426437617631928,0.016391351973086533,0.028282690562844968,0.028887685553382753,0.07402568045857506,0.0017476071119122145,0.05613041313114906
Privacy,0.004718600219608822,0.1136145637388677,0.08420974690412772,0.05244902652152403,0.09668402927274113,0.07051100986042919,0.17440258731183106,0.07222652712237441,0.08362658435217372,0.19041942165083828,0.09810952377432616,0.12780943614681956,0.18313326161585447,0.02376966029673243,0.21847402318083725,0.19496984618706822,0.0016049653394191743,0.04827142809965058,0.06119449949611466,0.10118264461933787
Allocation,0.09922882158088127,0.08473350284806347,0.06325234994990028,0.07527234199871964,0.10275964020404817,0.1267523658870871,0.07222652712237441,0.2097589667829253,0.09041825466809282,0.042468811154524166,0.05172529554165656,0.04261957413603513,0.06059873938707573,0.09021751322832249,0.013588254254282365,0.03380191860907854,1.208360998713792e-07,0.03456447918131498,0.002736447548643186,0.09921323234381177
Metric,0.024356692336485925,0.09729472799522329,0.06558379378267518,0.07681908091530172,0.11104779442387244,0.07826321150770484,0.08362658435217371,0.09041825466809282,0.10117677566012366,0.08264005453663606,0.056364040901174375,0.05457941021766833,0.08729305949148017,0.07128337684453842,0.0727044208604962,0.07325227534428194,0.06756392033998182,0.06985592199854694,0.04696615022388467,0.09135025710221496
Technology,0.013931705518799823,0.1267133862048613,0.10427551092445946,0.0509281246243307,0.08744333171265592,0.03306762289868153,0.18951770123509357,0.04246881115452416,0.08264005453663607,0.278933090868943,0.1409287855822934,0.1823417313398691,0.24162352363900033,0.013636517833777366,0.3397791679763212,0.29540114264978234,7.666223318381901e-06,0.06484464751988761,0.10751434105975724,0.14558443963007356
TRLE,0.04123421940152266,0.07542466914688317,0.08038121623633487,0.05548855043766876,0.06029777188736607,0.034802810483471704,0.09993724271026487,0.05172529554165656,0.056364040901174375,0.1441320263085687,0.11896016705053325,0.10206099980267698,0.1355521788502112,0.014436269884715556,0.16963146629909415,0.15047531187241314,5.20369028703472e-10,0.05473331318260708,0.05840990792099312,0.07194403033213607
UNSD Code,0.04428742662519224,0.07199642324264283,0.07601831398088435,0.032869463583260185,0.05039368352237159,0.038772358417539725,0.12779182520486532,0.04261957413603512,0.05457941021766835,0.1839559154825029,0.09872661038708808,0.1426947276058989,0.1562878474034864,0.01956185172388926,0.23109958765078797,0.1993227902134268,0.0011915147176286842,0.0458304208497119,0.0705295026335819,0.09973245105907892
Communication,0.006242520978992669,0.14431886534109675,0.11198984437842945,0.06594523552040503,0.09469315867217672,0.05424423321669204,0.18279960668679346,0.06059873938707572,0.0872930594914802,0.24191796376743985,0.13377010668296108,0.15569631690436767,0.238638236913805,0.0005121472651529409,0.28158888544618826,0.25000339909814107,2.994240380873862e-14,0.07667641928892581,0.08790156026286497,0.11704207861740121
Evaluation,0.05257298299657777,0.00709691493027151,0.030207036908983066,0.017324155877627825,0.11261919356779387,0.08426437617631928,0.023769660296732432,0.09021751322832247,0.07128337684453842,0.013636517833777364,0.014436269884715558,0.019561851723889266,0.0005121472651529409,0.2754557683746933,0.004245301576745988,0.010163457302538474,0.07662800686701471,0.0285682299022764,0.0002431547982412308,0.06790504364762481
Blockchain,0.0009351082874914746,0.09936970314173299,0.10680500251187686,0.040830326373628385,0.04007819138462155,0.016391351973086533,0.21847402318083725,0.013588254254282367,0.0727044208604962,0.33977916797632124,0.16963146629909412,0.23109958765078797,0.28158888544618826,0.004245301576745989,0.4644545591834528,0.38309774890455994,0.01689328573340679,0.054085110026119536,0.1628826326148873,0.1479405440002558
Consensus,0.004210755716655868,0.10823154301439201,0.10296541105645343,0.04319021253795945,0.05632006529508655,0.02828269056284497,0.1942039577481981,0.033801918609078545,0.07325227534428194,0.29524653699719655,0.1480679699486471,0.1979487415586663,0.2496961051481329,0.010163457302538472,0.3830977489045599,0.3312132138626103,0.00010240554526533829,0.05784530329364009,0.12935898869818227,0.15036323256773876
Permission,4.303593264211575e-10,0.017550382054438582,0.005024920808818104,0.04547419612675043,0.05187145804350897,0.028887685553382753,0.0016049653394191743,1.2083609987137921e-07,0.06756392033998183,7.666223318381901e-06,5.203690287034721e-10,0.0011915147176286846,2.994240380873862e-14,0.07662800686701471,0.01689328573340679,0.00010240554526533827,0.5,0.02291378356901215,0.0022350487435705687,0.0005483099810614506
Type,0.028678227176022697,0.10510365262693941,0.08935717765857296,0.08620456444609727,0.0680277410691479,0.07402568045857505,0.04827142809965059,0.03456447918131497,0.06985592199854693,0.06484464751988761,0.05473331318260708,0.0458304208497119,0.0766764192889258,0.028568229902276396,0.05408511002611952,0.05784530329364009,0.02291378356901215,0.25000144924052337,0.039913030096159985,0.036919708288929466
Chain,9.697920463080318e-10,0.07546448243795073,0.08521325295299753,0.056020854743081404,0.03093179276780444,0.0017476071119122145,0.06119449949611467,0.0027364475486431855,0.04696615022388467,0.10751434105975723,0.058409907920993126,0.07052950263358192,0.08790156026286498,0.0002431547982412308,0.16288263261488728,0.12935898869818227,0.0022350487435705687,0.039913030096159985,0.3580899743474224,0.13895019171223463
Reward,0.05588578343804059,0.11928283550471326,0.08590009442287927,0.056739719142431345,0.10885708004749095,0.056130413131149054,0.1011826446193379,0.09921323234381178,0.09135025710221495,0.14558443963007353,0.07194403033213609,0.09973245105907892,0.11704207861740124,0.06790504364762481,0.1479405440002558,0.15036323256773876,0.0005483099810614506,0.03691970828892947,0.1389501917122346,0.25428452781211064
