Dimension 1,DIM_0 Features,DIM_0 Values,DIM_1 Features,DIM_1 Values,DIM_2 Features,DIM_2 Values,DIM_3 Features,DIM_3 Values
0,Metric_USW_1.0,0.050265059,Permission_1_1.0,0.101930132,Methodology_0_0.0,0.147540998,Type_0_1.0,0.052974909
1,Blockchain_HLG_1.0,0.046960942,Type_0_1.0,0.078854321,Methodology_1_1.0,0.147540998,Permission_1_1.0,0.050553787
2,Permission_0_1.0,0.045678087,Evaluation_PIM_1.0,0.059719638,TRLE_3_0.0,0.068063045,Consensus_BFT_1.0,0.041551239
3,Evaluation_SIM_0.0,0.038869501,Technology_WFI_1.0,0.055139592,TRLE_4_1.0,0.056978476,Problem_PR_1.0,0.038505675
4,Evaluation_PIM_1.0,0.037968399,Blockchain_ETH_1.0,0.050849392,TRLE_3_1.0,0.03561966,Metric_ENC_1.0,0.038356835
5,Type_1_1.0,0.037845151,Evaluation_SIM_0.0,0.049727227,Problem_PR_1.0,0.030925767,Technology_BLT_1.0,0.037545725
6,Allocation_OFD_1.0,0.033657671,Technology_RPI_1.0,0.048042805,Contribution_MS_1.0,0.030540622,Problem_PF_1.0,0.0349294
7,Application_MCO_1.0,0.033470368,Technology_GEM_1.0,0.033442271,Privacy_ANM_1.0,0.021592577,Technology_RPI_1.0,0.031983842
8,Permission_0_0.0,0.029008445,Technology_NJS_1.0,0.029997044,Security_ATH_1.0,0.020804776,Privacy_ENC_1.0,0.03004917
9,Security_ACC_1.0,0.027745424,Technology_REN_1.0,0.024846779,TRLE_4_0.0,0.020060469,Privacy_ANM_1.0,0.029973396
10,Security_ATH_1.0,0.025505665,Technology_BLT_1.0,0.022383179,Permission_0_1.0,0.019828336,Consensus_POW_1.0,0.029879385
11,TRLE_3_0.0,0.022192138,Technology_RMX_1.0,0.021750217,Type_1_1.0,0.018358378,Problem_PF_0.0,0.028540723
12,Problem_PF_1.0,0.02018563,Technology_RST_1.0,0.021529805,Permission_1_1.0,0.016786029,Blockchain_ETH_1.0,0.027052294
13,Problem_SE_1.0,0.019330955,Security_ENC_1.0,0.020183274,Application_MCO_1.0,0.014513305,Technology_RST_1.0,0.023187076
14,Reward_0_1.0,0.01897272,Consensus_POW_1.0,0.019740566,Evaluation_TES_1.0,0.013808327,Technology_SDN_1.0,0.019816913
15,Problem_SE_0.0,0.018584265,Technology_HNT_1.0,0.016523958,Metric_CPC_1.0,0.013392565,Blockchain_HLG_1.0,0.019059939
16,Chain_0_1.0,0.017889486,Permission_1_0.0,0.014234632,Application_ITS_1.0,0.013099834,Metric_CPC_1.0,0.018554054
17,Technology_IPF_1.0,0.017830519,Reward_0_1.0,0.013678032,Permission_0_0.0,0.012592235,AI Method_REL_1.0,0.016829286
18,TRLE_4_1.0,0.017261423,Metric_DLY_1.0,0.013578973,Metric_LTY_1.0,0.01205648,Technology_NJS_1.0,0.015767509
19,AI Method_REL_1.0,0.016960247,Blockchain_ETH_0.0,0.01187172,Contribution_MS_0.0,0.011060166,Technology_WFI_1.0,0.015355986
20,Problem_PF_0.0,0.016493626,Blockchain_BTC_1.0,0.011730559,Technology_HNT_1.0,0.010907963,Technology_MEC_1.0,0.013608457
21,Type_1_0.0,0.016118138,Permission_0_1.0,0.010595887,Problem_SE_1.0,0.010700461,Technology_GNC_1.0,0.013278087
22,Security_ENC_1.0,0.015973143,Application_ITS_1.0,0.010477862,Problem_SE_0.0,0.010287138,Allocation_OFD_1.0,0.012470056
23,Evaluation_TES_1.0,0.015474307,AI Method_FEL_1.0,0.010262482,Type_0_1.0,0.009872427,Chain_1_1.0,0.012400457
24,Technology_RPI_1.0,0.01352429,Evaluation_SIM_1.0,0.010076307,Blockchain_HLG_1.0,0.009015817,Technology_DKR_1.0,0.012061579
25,Methodology_1_1.0,0.012873145,Technology_GNC_1.0,0.009068806,Application_SEN_1.0,0.008925386,Technology_HNT_1.0,0.011797639
26,Methodology_0_0.0,0.012873145,Problem_PF_1.0,0.009056176,Type_2_1.0,0.008500231,Technology_NFV_1.0,0.011520117
27,Application_HCA_1.0,0.012575615,Type_0_0.0,0.009039398,Application_IOT_1.0,0.008340953,Security_ATH_1.0,0.011156323
28,Technology_MEC_1.0,0.012212396,Application_MCO_1.0,0.008762676,Type_1_0.0,0.007818779,Technology_RMX_1.0,0.0109149
29,Consensus_POW_1.0,0.011959189,TRLE_4_1.0,0.008667544,Security_ENC_1.0,0.00769949,Evaluation_FVE_1.0,0.009520909
30,TRLE_3_1.0,0.011613886,AI Method_REL_1.0,0.008565404,Consensus_BFT_1.0,0.007608374,Problem_PR_0.0,0.009377572
31,Allocation_OFD_0.0,0.011121239,Evaluation_PIM_0.0,0.007751004,Problem_PR_0.0,0.007531581,Evaluation_PIM_1.0,0.009223528
32,Metric_USW_0.0,0.010344788,TRLE_3_0.0,0.007434577,Technology_IFS_1.0,0.007247783,Blockchain_BTC_1.0,0.009180019
33,Technology_RST_1.0,0.008989051,Problem_PF_0.0,0.007399778,Methodology_1_0.0,0.006929188,Consensus_POW_0.0,0.009023404
34,Consensus_BFT_1.0,0.00837084,Permission_0_0.0,0.006729051,Methodology_0_1.0,0.006929188,Contribution_AR_1.0,0.008938962
35,Security_ATH_0.0,0.0082801,Problem_DS_1.0,0.006657336,Security_ACC_1.0,0.006911527,Contribution_MS_1.0,0.008476372
36,Evaluation_SIM_1.0,0.007876188,Consensus_POW_0.0,0.005961538,Security_ATH_0.0,0.006754014,Consensus_BFT_0.0,0.008419593
37,Contribution_AR_1.0,0.007860025,Problem_PR_1.0,0.005765695,Technology_RST_1.0,0.006276554,Metric_CPU_1.0,0.008362508
38,Consensus_RFT_1.0,0.007823944,Metric_DLY_0.0,0.005603687,Privacy_PSA_1.0,0.005844141,Allocation_SPL_1.0,0.008267155
39,Problem_PR_1.0,0.007821488,Privacy_PSA_1.0,0.005479625,Privacy_ENC_1.0,0.0057664,Metric_TRP_1.0,0.007652774
40,Metric_TRP_1.0,0.007520418,Reward_1_1.0,0.00490179,Application_IOT_0.0,0.005698883,Problem_SE_1.0,0.007168196
41,Type_2_1.0,0.007484133,Technology_DKR_1.0,0.004739436,Technology_NJS_1.0,0.005101393,Permission_1_0.0,0.00705988
42,Type_0_1.0,0.007360628,Consensus_BFT_1.0,0.004644965,TRLE_2_1.0,0.004977154,Problem_SE_0.0,0.006891313
