1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Methodology,Methodology,Methodology,Methodology,Methodology,Methodology,Methodology,Methodology,Methodology,Methodology,,,,,,,,,,,,,,,,,,,,,
Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,Application,,
Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,Problem,,,,
Contribution,Contribution,Contribution,Contribution,Contribution,Contribution,Contribution,Contribution,Contribution,Contribution,Contribution,Contribution,Contribution,Contribution,Contribution,,,,,,,,,Contribution,Contribution,,,,,,
AI Method,AI Method,AI Method,AI Method,AI Method,AI Method,,AI Method,AI Method,,,,,,,,,,,,,,,,,,,,,,
Security,Security,Security,Security,Security,Security,Security,Security,Security,Security,Security,Security,Security,,,,,,,,,,,,,,,,,,
Privacy,Privacy,Privacy,Privacy,Privacy,Privacy,Privacy,Privacy,Privacy,Privacy,Privacy,Privacy,,,,,,,,,,,,Privacy,Privacy,Privacy,,,,,
Allocation,Allocation,Allocation,Allocation,Allocation,Allocation,Allocation,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Metric,Metric,Metric,Metric,Metric,Metric,Metric,Metric,Metric,Metric,Metric,Metric,Metric,Metric,Metric,,Metric,Metric,Metric,,,Metric,Metric,Metric,Metric,Metric,Metric,Metric,Metric,Metric
Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,,Technology,Technology,,Technology,,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology
TRLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sustainability,Sustainability,Sustainability,Sustainability,Sustainability,Sustainability,Sustainability,Sustainability,,,,,,,,,,,,,,,,,,,,,,,
Communication Technology,Communication Technology,Communication Technology,Communication Technology,Communication Technology,Communication Technology,Communication Technology,Communication Technology,Communication Technology,Communication Technology,Communication Technology,,,,,,,,,,,,,,,,,,,,
Evaluation,Evaluation,Evaluation,Evaluation,Evaluation,Evaluation,Evaluation,Evaluation,Evaluation,Evaluation,Evaluation,Evaluation,Evaluation,Evaluation,,,,,,,,,,Evaluation,,,,,,,
Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,,Blockchain,Blockchain,,,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,,,
Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,,,,,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,
Permission,Permission,Permission,Permission,Permission,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Type,Type,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain,Chain,Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reward,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
