Item type,Authors,Editors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Address,Book title,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Notes,Series
Book Chapter,"Jafri R,Singh S",Tanwar S,4 - Blockchain applications for the healthcare sector: Uses beyond Bitcoin,,2022,,,71-92,Academic Press,,Blockchain Applications for Healthcare Informatics,2022,9780323906159.0,,https://www.sciencedirect.com/science/article/pii/B9780323906159000220;http://dx.doi.org/10.1016/B978-0-323-90615-9.00022-0,10.1016/B978-0-323-90615-9.00022-0,"The year 2020 will always be remembered as a catastrophic year since the World Health Organization (WHO) declared COVID-19 (coronavirus) as a pandemic. The sudden emergence of the COVID-19 pandemic has exposed the drawbacks in our healthcare systems to handle public health emergencies. It is clear that implementing cutting-edge technology such as blockchain can aid in reducing the devastating effects of healthcare mishaps and promote efficient planning operations and resource deployment. In the healthcare sector, blockchain technology has the potential to improve clinical trial data management by minimizing regulatory approval delays and revitalizing communication between various parties in the supply chain, among other things. Furthermore, the propagation of misinformation has accelerated in recent years, and existing platforms lack the ability to verify the accuracy of data, resulting in public alarm and irrational behavior. As a result, building a blockchain-based tracking system is critical to ensuring that any data related to healthcare are collected in an accurate and trustworthy manner. Blockchain is a decentralized distributed ledger distribution technology that can make data processing, provenance, and authentication simpler and has the potential to disrupt healthcare. Blockchain is being actively explored in the health sector to optimize business processes, lower costs, improve patient quality, improve compliance, and make better use of data relevant to healthcare. Nevertheless, the need to ensure that blockchain design elements consider specific healthcare needs from the different viewpoints of clients, patients, providers, and regulators is crucial in determining whether blockchain will fulfill the excitement of a technology described as ``revolutionary'' and ``disruptive.'' In addition, blockchain approaches must also be attentive to the specific problems facing healthcare relative to other sectors of the economy, in response to the actual needs of healthcare stakeholders. There have been many proposed implementations of blockchain in the healthcare sector, such as electronic health record (EHR) systems. In this chapter, we review the motivations of inculcating blockchain in currently existing EHR systems. The content of this chapter is organized as follows. Section 1 discusses a brief introduction of blockchain along with the EHR system and the current implementation of blockchain in the medical industry. The second section provides a deeper insight into the importance of mobile health, remote monitoring, and the motivations for using blockchain-based EHR systems. The third section will cover the details of a patient-centered blockchain model along with its promising features. The development of the COVID-19 pandemic has created a slew of difficulties around the world. The use of blockchain technology is critical in developing a platform for effectively managing the COVID-19 pandemic. The lack of a precise mechanism to detect new infections and anticipate the coronavirus infection risk is the largest difficulty facing most nations. The numerous characteristics of blockchain technology, such as decentralization, transparency, and immutability, can aid in pandemic management by detecting breakouts early, expediting drug distribution, and safeguarding user privacy while undergoing treatment. In this chapter, we examine blockchain applications and potential in the fight against COVID-19, demonstrating that the proposed solution is cost-effective and assures data integrity, security, transparency, and traceability among stakeholders during the pandemic. The last section is the conclusion.","Blockchain, Healthcare, Electronic health record system, Security, Privacy, COVID-19",,
Journal Article,"Wang S,Li H,Chen J,Wang J,Deng Y",,DAG blockchain-based lightweight authentication and authorization scheme for IoT devices,Journal of Information Security and Applications,2022,66.0,,103134,,,,2022,,2214-2126,https://www.sciencedirect.com/science/article/pii/S2214212622000242;http://dx.doi.org/10.1016/j.jisa.2022.103134,10.1016/j.jisa.2022.103134,"As the extension and expansion of the Internet, the Internet of things (IoT) connects things with the network through information sensing equipment to achieve intelligent identification, positioning, monitoring, management and other functions. With the increasing number of IoT users and devices, the demands for secure communication and data confidentiality are getting higher and higher, and the identity authentication and access control of IoT devices has become a huge challenge. In the IoT environment, the traditional device identity and access management methods based on public key infrastructure (PKI) and blockchain bring the problems of single point failure and scalability. The emergence of decentralized storage system and distributed ledger technology directed acyclic graph (DAG) provide new ideas to solve these problems. In the paper, we use distributed ledger technology IOTA with low energy demand to design a lightweight and scalable mechanism to manage the identity of IoT devices and access control of large-scale IoT data, so as to ensure source reliability and sharing security of IoT data. In the new scheme, IOTA technology is used to realize the functions of registration, update, revocation and retrieval of the identity of IoT devices, which solves the defects caused by centralized management. Inter planetary file system (IPFS) is used to store a large amount of data generated by devices in the IoT, which not only reduces the burden on devices and systems of IoT, but also solves the single point of failure, delay and other problems caused by traditional cloud storage. At the same time, the fog node is used to provide localized computing for a group of IoT devices to solve the problem of limited computing resources of IoT devices. In addition, in order to prevent data abuse caused by unauthorized devices accessing network resources, a trusted access control mechanism is designed to achieve fine-grained access control, access policy update and other functions, so as to better maintain the IoT environment and network security. Finally, the performance of the proposed scheme is evaluated through simulation experiments, and the security and functions of the scheme are analyzed, which proves that the scheme meets the security demands of the IoT environment.","Internet of Things, IOTA, IPFS, Fog computing, Identity management, Access control, Security",,
Journal Article,"Isaja M,Soldatos JK",,"Distributed Ledger Architecture for Automation, Analytics and Simulation in Industrial Environments",IFAC-PapersOnLine,2018,51.0,11,370-375,,,,2018,,2405-8963,https://www.sciencedirect.com/science/article/pii/S2405896318314459;http://dx.doi.org/10.1016/j.ifacol.2018.08.321,10.1016/j.ifacol.2018.08.321,"The advent of Industry4.0 has given rise to a large number of digital manufacturing systems, which are currently used to digitize industry and transform industrial processes like automation, maintenance and quality control. The present paper introduces a first-of-a-kind reference architecture for developing industrial automation systems based on edge computing and blockchain technologies. It also presents the design of a platform that implements this reference architecture with a view to providing functionalities in three complementary domains, namely automation, production systems' virtualization and data analytics. The presented platform is destined to provide some distinct performance and reliability advantages, based on its edge computing and blockchain foundations.","Industrial Automation, Analytics, BlockChain, Edge Computing, Virtualization",16th IFAC Symposium on Information Control Problems in Manufacturing INCOM 2018,
Journal Article,"Petrali P,Isaja M,Soldatos JK",,Edge Computing and Distributed Ledger Technologies for Flexible Production Lines: A White-Appliances Industry Case,IFAC-PapersOnLine,2018,51.0,11,388-392,,,,2018,,2405-8963,https://www.sciencedirect.com/science/article/pii/S2405896318314484;http://dx.doi.org/10.1016/j.ifacol.2018.08.324,10.1016/j.ifacol.2018.08.324,"Industry 4.0 will enable the development of hyper-efficient plants, which facilitate the implementation of emerging production models such as Made-to-Order and Configure-to-Order. In this direction, the H2020 FAR-EDGE project has introduced a reference architecture and an accompanying platform that facilitates the implementation of digital automation solutions based on edge computing and distributed ledger technologies, which enable fast, reliable and responsive automation. In this paper, we illustrate the use of these technologies for the implementation and deployment of a practical use case in the white appliances industry. Specifically, we present how a sorter component can be automatically programmed in order to ensure that items arriving at a conveyor are optimally placed in various bays. The use case leverages the edge computing paradigm in order to ensure that each physical item is able to communicate its status to all the others. At the same time, distributed ledger technologies enable the modelling of the sorting process as a reliable smart contract among all physical entities. The benefits of the deployment include tangible improvements in productivity, along with a significant reduction in the effort and time needed for the reconfiguration of the sorter.","Industrial Automation, Simulation Edge Computing, Distributed Ledger Technologies, White Appliances, Bays, Conveyor",16th IFAC Symposium on Information Control Problems in Manufacturing INCOM 2018,
Journal Article,"Yang J,Lu Z,Wu J",,Smart-toy-edge-computing-oriented data exchange based on blockchain,Journal of Systems Architecture,2018,87.0,,36-48,,,,2018,,1383-7621,https://www.sciencedirect.com/science/article/pii/S1383762118300638;http://dx.doi.org/10.1016/j.sysarc.2018.05.001,10.1016/j.sysarc.2018.05.001,"Smart toy is a specific IoT (Internet of Things) device, and its market demand is growing dramatically. Combined with edge computing technology, smart toy can generate valuable data. Smart toy data exchange is a new powerful area. However, there is no efficient, secure and reliable data exchange mechanism among isolated smart toy data platforms and other IoT systems. In this paper, we propose a smart-toy-edge-computing-oriented data exchange prototype using Hyperledger Fabric v1.0. We target to solve the issue of automatically maintaining a tamper-resistant, reliable and distributed ledger by writing smart contract in the environment where the participants are distrustful of each other. This prototype can simplify the process, save resources and ensure a fair solution of dispute. This method also facilitates the implementation of P2P data exchange among the isolated smart toy and other IoT systems.","IoT, Edge-computing, Data exchange, Hyperledger Fabric, Blockchain, Smart toy",,
Journal Article,"Pavlou G,Psaras I",,"The troubled journey of QoS: From ATM to content networking, edge-computing and distributed internet governance",Computer Communications,2018,131.0,,8-12,,,,2018,,0140-3664,https://www.sciencedirect.com/science/article/pii/S0140366418303384;http://dx.doi.org/10.1016/j.comcom.2018.07.006,10.1016/j.comcom.2018.07.006,"Network Quality of Service (QoS) and the associated user Quality of Experience (QoE) have always been the networking ``holy grail'' and have been sought after through various different approaches and networking technologies over the last decades. Despite substantial amounts of effort invested in the area, there has been very little actual deployment of mechanisms to guarantee QoS in the Internet. As a result, the Internet is largely operating on a ``best effort'' basis in terms of QoS. Here, we attempt a historical overview in order to better understand how we got to the point where we are today and consider the evolution of QoS/QoE in the future. As we move towards more demanding networking environments where enormous amounts of data is produced at the edge of the network (e.g., from IoT devices), computation will also need to migrate to the edge in order to guarantee QoS. In turn, we argue that distributed computing at the edge of the network will inevitably require infrastructure decentralisation. That said, trust to the infrastructure provider is more difficult to guarantee and new components need to be incorporated into the Internet landscape in order to be able to support emerging applications, but also achieve acceptable service quality. We start from the first steps of ATM and related IP-based technologies, we consider recent proposals for content-oriented and Information-Centric Networking, mobile edge and fog computing, and finally we see how distributed Internet governance through Distributed Ledger Technology and blockchains can influence QoS in future networks.","QoS, QoE, Mobile edge computing, Fog computing, Distributed ledger technology, Blockchain",COMCOM 40 years,
Journal Article,"Pinto F,Ferreira da Silva C,Moro S",,People-centered distributed ledger technology-IoT architectures: A systematic literature review,Telematics and Informatics,2022,70.0,,101812,,,,2022,,0736-5853,https://www.sciencedirect.com/science/article/pii/S0736585322000454;http://dx.doi.org/10.1016/j.tele.2022.101812,10.1016/j.tele.2022.101812,"To understand how distributed ledger technology (DLT) enables people-centered IoT solutions we conducted a systematic literature review of tested implementations since 2017. We created a people-centered classification to analyze 39 implementations. We found that people-centered DLT-IoT architectures are in their infancy and detected no evidence of emerging patterns. We observed that Ethereum is the most used DLT. Fit-for-purpose technologies like IOTA and concepts like Self-Sovereign Identity (SSI) were underrepresented. We noted an increased interest in privacy-preserving and edge-computing mechanisms, and identified three areas for future research. We hope this survey will assist others learning more about people-centered IoT solutions.","Internet of Things (IoT), Distributed Ledger Technology (DLT), People-centered, Data economy",,
Journal Article,"Lakhan A,Mohammed MA,Ibrahim DA,Abdulkareem KH",,Bio-inspired robotics enabled schemes in blockchain-fog-cloud assisted IoMT environment,Journal of King Saud University - Computer and Information Sciences,2021,,,,,,,2021,,1319-1578,https://www.sciencedirect.com/science/article/pii/S1319157821003232;http://dx.doi.org/10.1016/j.jksuci.2021.11.009,10.1016/j.jksuci.2021.11.009,"Due to emerging developments in sports games, the usage of bio-ankle sensors has been growing progressively. Whereas, Internet of Medical Things (IoMT) is an emerging network that boosts bio-inspired sensors' performances onto the fog-cloud network. However, a sequence of processes is required to complete the healthcare process for one sportsman. Therefore, workflow-enabled bio-inspired sensors tasks scheduled in IoMT postures different challenges. For instance, cost-efficient scheduling, security, and data validation in distributed hospitals to share their data. In this paper, we devise bio-inspired robotics-enabled schemes in the blockchain-fog-cloud-assisted IoMT environment. The goal is to minimize execution cost and blockchain of applications. Based on the proposed system, the study devises bio-inspired robotics function blockchain task scheduling (BIR-FBTS) schemes, determining the optimal assignment of tasks to the available nodes. The simulation results show that the proposed methods minimized 50% of the service cost and 40% of mined cost in the system compared to all existing bio-inspired healthcare systems.","Bio-inspired robotics, Cost, Searching, Healthcare, IoMT, Blockchain, Service cost, Workflow applications",,
Journal Article,"Chen S,Yang L,Zhao C,Varadarajan V,Wang K",,Double-Blockchain Assisted Secure and Anonymous Data Aggregation for Fog-Enabled Smart Grid,Engineering,2022,8.0,,159-169,,,,2022,,2095-8099,https://www.sciencedirect.com/science/article/pii/S2095809920302071;http://dx.doi.org/10.1016/j.eng.2020.06.018,10.1016/j.eng.2020.06.018,"As a future energy system, the smart grid is designed to improve the efficiency of traditional power systems while providing more stable and reliable services. However, this efficient and reliable service relies on collecting and analyzing users' electricity consumption data frequently, which induces various security and privacy threats. To address these challenges, we propose a double-blockchain assisted secure and anonymous data aggregation scheme for fog-enabled smart grid named DA-SADA. Specifically, we design a three-tier architecture-based data aggregation framework by integrating fog computing and the blockchain, which provides strong support for achieving efficient and secure data collection in smart grids. Subsequently, we develop a secure and anonymous data aggregation mechanism with low computational overhead by jointly leveraging the Paillier encryption, batch aggregation signature and anonymous authentication. In particular, the system achieves fine-grained data aggregation and provides effective support for power dispatching and price adjustment by the designed double-blockchain and two-level data aggregation. Finally, the superiority of the proposed scheme is illustrated by a series of security and computation cost analyses.","Blockchain, Fog computing, Homomorphic encryption, Smart grid, Anonymity",,
Journal Article,"Bonnah E,Shiguang J",,DecChain: A decentralized security approach in Edge Computing based on Blockchain,Future Generation Computer Systems,2020,113.0,,363-379,,,,2020,,0167-739X,https://www.sciencedirect.com/science/article/pii/S0167739X19323933;http://dx.doi.org/10.1016/j.future.2020.07.009,10.1016/j.future.2020.07.009,"Security in edge computing paradigms has become a major concern in recent times due to the integral role it plays in the framework of edge computing. Privacy-preserving and data security challenges are among the many concerns impeding the goal of making data storage available and processing at the edge of the network quite difficult to implement. Authenticated users must be the only ones with access to their respective stored data which are protected against any form of intruder manipulation. Most authentication schemes proposed and implemented in edge computing and other paradigms use a trusted entity to initialize the authentication process between edge servers and prospective users. Servers and users are expected to register with the trusted party first before they are able to subsequently authenticate one another. The presence of the trusted party presents scalability issues as well as the threat of having a single point of failure which may threaten the availability of the entire network. In this paper, we present a fully decentralized approach to solving this problem by eliminating the public trusted entity within the network framework termed DecChain. In DecChain we employ some notable principles of permissioned blockchain technology in the rollout and authentication of elements within the network. Authenticated users within our proposed framework would not have to sign in to every service provider to be authenticated to access a service or resource. Security experiments and the deployment of our scheme are carried out to evaluate the performance of DecChain. The results show our scheme is secured and achieves the intended purpose efficiently.","Blockchain, Edge computing, Security, Scalability, Authentication, Decentralized",,
