Authors,Author Full Names,Title,Source Title,Document Type,Publisher,Publication Year,Volume,Issue,DOI,Link,ISSN,ISBN,Number of Pages,Author Keywords,Language,Source,Abstract
"Sumathi M., Rajkamal M., Raja S.P., Venkatachalapathy M., Vijayaraj N.","Sumathi, M., Department of School of Computing, Sastra Deemed University, Tamilnadu, Thanjavur, 613401, India; Rajkamal, M., Ibm, India, Bangalore, India; Raja, S.P., School of Computer Science and Engineering, Vellore Institute of Technology, Tamilnadu, Vellore, 632014, India; Venkatachalapathy, M., Department of Mathematics, K.Ramakrishnan College of Engineering (Autonomous), Tamilnadu, Trichirappalli, India; Vijayaraj, N., Department of Computer Science and Engineering, Vel Tech Rangarajan Dr. Sagunthala, R&d Institute of Science and Technology, Avadi, Tamilnadu, Chennai, India",A crop yield prediction model based on an improved artificial neural network and yield monitoring using a blockchain technique,"International Journal of Wavelets, Multiresolution and Information Processing",,,2022,20,6,10.1142/S0219691322500308,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136178786&doi=10.1142%2fS0219691322500308&partnerID=40&md5=488adb995491514be211c6d7b74b0c9d,World Scientific,,,agriculture yield; artificial neural network; blockchain; cloud storage; Crop yield prediction; fuzzy and association rules; internet of things; random forest,English,Scopus,"Nowadays, improving a crop yield (CY) is an emerging and essential task to reduce food scarcity. Factors impacting CY improvement include rising population, water shortage, fertilizer use, climate change and unprecedented insect attacks. To resolve these issues, a smart agriculture technique is proposed in this work. Internet of Things (IoT) sensor devices are used to collect data from farms, following which the fuzzy association rule-based classification technique classifies the data into two, valuable and nonvaluable. An improved artificial neural network (IANN) algorithm is applied to identify and analyze the factors involved in monitoring CY's. Thereafter, all valuable data pertaining to the type of seed, fertilizer and crop cost is stored in blocks to secure data and communication between members of the farming community. Finally, an edge computing device is used to store the blocks and transfer information. The valuable data collected is classified using the fuzzy association rule and analyzed using the IANN technique, both of which facilitate a comparison with the historical data so as to enable better decision making in terms of seed and fertilizer selection. Similarly, crop price is predicted through a comparison of present and historical yields. To overcome breaches in security, a blockchain technique is employed in this work to secure communication between farmers, investors and merchants. The investor dispatches instructions on the selection of the seed and fertilizer, as well as the crop cost, through the blockchain to the farmer and the merchant. Such secure communication bypasses third-party involvement and inconsistencies in the data. When compared to the traditional method, the proposed technique offers better accuracy and profits, right from seed selection to trading. The proposed IANN technique produced a higher yield than the traditional method with a profit of 51%, 35% and 20% for rice, bananas and flowers, respectively. Similarly, the IANN technique provides 99.15% prediction accuracy in terms of a profit analysis. The blockchain and edge computing-based transactions improve security and reduce transactional latency. The proposed system ensures sustainability and traceability in agriculture. © 2022 World Scientific Publishing Company."
"Agrawal S., Kumar S.","Agrawal, S., Shri Jagdishprasad Jhabarmal Tibrewala University, Rajasthan, India; Kumar, S., SVCET, Chittoor, India",MLSMBQS: Design of a Machine Learning Based Split & Merge Blockchain Model for QoS-Aware Secure IoT Deployments,"International Journal of Image, Graphics and Signal Processing",,,2022,14,5,10.5815/ijigsp.2022.05.05,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139404628&doi=10.5815%2fijigsp.2022.05.05&partnerID=40&md5=c7beae60e9089f699ae18c114492f54c,Modern Education and Computer Science Press,,14,Attacks; Blockchain; Delay; EHO; Energy; IoT; Machine Learning; PoW; QoS; Security; Sidechain,English,Scopus,"Internet of Things (IoT) Networks are multitier deployments which assist on-field data to be sensed, processed, communicated, and used for taking control decisions. These deployments utilize hardware-based components for data sensing & actuation, while cloud components are used for data-processing & recommending control decisions. This process involves multiple low-security, low-computational capacity & high-performance entities like IoT Devices, short range communication interfaces, edge devices, routers, & cloud virtual machines. Out of these entities, the IoT Device, router, & short-range communication interfaces are highly vulnerable to a wide-variety of attacks including Distributed Denial of Service (DDoS), worm hole, sybil, Man in the Middle (MiTM), Masquerading, spoofing attacks, etc. To counter these attacks, a wide variety of encryption, key-exchange, and data modification models are proposed by researchers. Each of these models have their own levels of complexities, which reduces QoS of underlying IoT deployments. To overcome this limitation, blockchain-based security models were proposed by researchers, and these models allow for high-speed operations for small-scale networks. But as network size is increased, delay needed for blockchain mining increases exponentially, which limits its applicability. To overcome this issue, a machine learning based blockchain model for QoS-aware secure IoT deployments is proposed in this text. The proposed MLSMBQS model initially deploys a Proof-of-Work (PoW) based blockchain model, and then uses bioinspired computing to split the chain into multiple sub-chains. These sub-chains are termed as shards, and assists in reduction of mining delay via periodic chain splitting process. The significance of this research is use of Elephant Herd Optimization (EHO) which assists in managing number of blockchain-shards via splitting or merging them for different deployment conditions. This decision of splitting or merging depends on blockchain’s security & quality of service (QoS) performance. Due to integration of EHO for creation & management of sidechains, the findings of this research showcase that the proposed model is capable of improving throughput by 8.5%, reduce communication delay by 15.3%, reduce energy consumption by 4.9%, and enhance security performance by 14.8% when compared with existing blockchain & non-blockchain based security models. This is possible because EHO initiates dummy communication requests, which are arbitrarily segregated into malicious & non-malicious, and usedfor continuous QoS & security performance improvement of the proposed model. Due to this continuous performance improvement, the proposed MLSMBQS model is capable of deployment for a wide variety of high-efficiency IoT network scenarios. © 2022, Modern Education and Computer Science Press. All rights reserved."
"Zhang H., Zang Z., Muthu B.","Zhang, H., Research Center of Wuling Mountain Area Characteristic Resources Development, Utilization College of Finance and Economics, Yangtze Normal University, Chongqing, 408100, China; Zang, Z., School of Economics and Management Chongqing Metropolitan College of Science and Technology, Chongqing, 402167, China; Muthu, B., Department of Computer Science and Engineering Adhiyamaan College of Engineering, India",Knowledge-based systems for blockchain-based cognitive cloud computing model for security purposes,"International Journal of Modeling, Simulation, and Scientific Computing",,,2022,13,4,10.1142/S1793962322410021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118484052&doi=10.1142%2fS1793962322410021&partnerID=40&md5=57ba2435f5d8efc25262099c6ab02459,World Scientific,,,"blockchain system; Cognitive cloud computing; internet of things, artificial intelligence; security analysis",English,Scopus,"Today, artificial intelligence (AI) can use the most powerful edge computing systems in the Internet of Things (IoT) for finding the information extracted from vast sensory data such as cyber effects or models in physical environments for classification, identification, and prediction. Heterogeneous IoT devices produce isolated and dispersed information parts, and knowledge sharing and exchange in IoT intelligent applications with several selfish nodes are necessary for complex tasks. In both academia and business, IoT is driving a digital revolution. However, protection and IoT privacy problems are challenged. It offers comfort for everyday lives. Blockchain, a shared cryptographic database, is a promising IoT encryption solution for several manufacturing, finance, and trade sectors. The IoT-based blockchain architecture is an interesting contrast to the conventional, centralized paradigm that struggles to fulfill specific IoT requirements. New concepts for applying data and resources management protection procedures in distributed networks and cloud computing are introduced. Cloud management services can be linked to the application through blockchain technology and distributed leader, a stable cognitive information system that facilitates management operations and securing data. This document provides many ideas for applying personal and behavioral characteristics to security and cryptography protocols, blockchain based on the cognitive cloud computing (BC-CCC) pattern. The simulation result shows that the proposed strategy can significantly enhance data transmission rate (96.2%), security ratio (94.5%), throughput ratio (92.4%), scalability ratio (91.5%), trust rate (93.8%), data trading ratio (96.2%), and reduce storage cost rate (25.1%) compared to other existing methods. © World Scientific Publishing Company."
"Chang M., Das S., Montrone D., Chakraborty T.","Chang, M., Domani Systems INC., Shelton, CT, United States; Das, S., Domani Systems INC., Shelton, CT, United States; Montrone, D., Domani Systems INC., Shelton, CT, United States; Chakraborty, T., Domani Systems INC., Shelton, CT, United States","Implementing a Data Communication Security Tokens Management System Using COSMOS, an Energy Efficient Proof-of-Stake Blockchain Framework",International Journal of High Speed Electronics and Systems,,,2022,31,01-Apr,10.1142/S012915642240016X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136844037&doi=10.1142%2fS012915642240016X&partnerID=40&md5=a9a8d0ba58ed2353f848dd0c51d58aaf,World Scientific,,,blockchain; DApp; Ethereum; IOT; servers; service token; traffic tokens,English,Scopus,"This paper proposes an energy efficient approach for securing inter-connecting IOT devices with servers. A scheme using blockchain and a second network for security management was previously described [1]. To overcome the drawbacks and shortcomings of using traditional smart contract with Ethereum, a new approach is proposed. The proposed approach ensures that the overall IoT network is ""hardened""against attack using a framework which is environmentally sustainable and meets the stringent requirements of mission critical applications. This new approach also results in shorter latency, higher throughput and consuming less power, thus suitable for edge computing environment in mobile. © 2022 World Scientific Publishing Company."
"Sabri Y., Outzourhit A.","Sabri, Y., Laboratory of Innovation in Management and Engineering for Enterprise (LIMIE), ISGA, Rabat, Morocco; Outzourhit, A., Laboratory of Innovation in Management and Engineering for Enterprise (LIMIE), ISGA, Marrakech, Morocco",A Novel Big Data Intelligence Analytics Framework for 5G-Enabled IoT Healthcare,International Journal of Advanced Computer Science and Applications,,,2022,13,8,10.14569/IJACSA.2022.0130892,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137160752&doi=10.14569%2fIJACSA.2022.0130892&partnerID=40&md5=28e71aeda6075545cd04c39a525d9c80,Science and Information Organization,,7,5g-enabled; Big data analytics; Confidentiality; Fog computing; Iot healthcare,English,Scopus,"Intelligent networking is a concept that enables 5G, the Internet of Things (IoT) and artificial intelligence (AI) to combine as a way to accelerate technological innovation and develop new revolutionary digital services. In the intelligent connectivity vision, the digital information gathered by the machines, devices and sensors which make up the IoT is analysed and contextualized. It is anticipated that the high availability of 5G and its inclusion of a large number of connections would help promote the production of wearable devices used to monitor the different biometric parameters of the wearer. Since these are AIbased health systems, the data obtained from these devices will be analysed in order to assess a patient’s current health status. This paper presents a detailed design for the development of intelligent data analytics and mobile computer-assisted healthcare systems.The proposed advanced PoS consensus algorithm provides better performance than other existing algorithms. © 2022,International Journal of Advanced Computer Science and Applications.All Rights Reserved"
"Careline S.L.G., Godhavari T.","Careline, S.L.G., Dr. MGR Educational and Research Institute, Chennai, India; Godhavari, T., Dr. MGR Educational and Research Institute, Chennai, India",Implementation of Electronic Health Record and Health Insurance Management System using Blockchain Technology,International Journal of Advanced Computer Science and Applications,,,2022,13,6,10.14569/IJACSA.2022.0130679,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133387610&doi=10.14569%2fIJACSA.2022.0130679&partnerID=40&md5=92906f1977d22a8192c923e5705dcbfe,Science and Information Organization,,6,Edge computing; Electronic health records; Ethereum; Homomorphic encryption; Insurance policy and claim processing; Smart contracts,English,Scopus,"Electronic health records (EHR) play an important role in digital health transition. EHRs contain medical information such as demographics, laboratory test results, radiological images, vaccination status, insurance policy, and claims. EHR is essential for doctors and healthcare organizations to analyze a patient's profile and provide appropriate therapy. Despite this, current electronic health record (EHR) systems lag with difficulties such as Interoperability and security. Better and faster care may be provided with an integrated and secure health record for each patient that can be transmitted easily in real-time across countries. People having health insurance policies are often confronted by insurance jargon and the insurer’s cumbersome requirements while filing a claim for treatment. There are times when the claims processing takes longer than expected. The insurer, Third-Party Administrators (TPAs), and network provider hospitals examine, approve, and initiate the sum claimed. The use of blockchain in the process allows for more efficient information sharing at a lower cost and with more security. Only authorized individuals have access to the shared ledger on a blockchain, making it more confidential and secure. All parties engaged in a health insurance policy, including the insurer, the insured, the TPA, and the network provider hospital, may be members of the blockchain network and have access to the same set of policy data. In our proposed work we implemented a Blockchain-based EHR and Health insurance management system using Ethereum and deployed smart contracts using solidity and created a web application with web3js and React Framework © 2022. International Journal of Advanced Computer Science and Applications.All Rights Reserved."
"Khan K.M.S., Nisha S.S.","Khan, K.M.S., PG & Research Department of Computer Science, Sadakathullah Appa College, Affiliation of Manonmaniam Sundaranar University, Abishekapatti, Tamil Nadu, Tirunelveli, India; Nisha, S.S., PG & Research Department of Computer Science, Sadakathullah Appa College, Affiliation of Manonmaniam Sundaranar University, Abishekapatti, Tamil Nadu, Tirunelveli, India",BTDEC: Blockchain-Based Trible Data Elliptic Curve Cryptosystem with Fine-Grained Access Control for Personal Data,International Journal of Computer Networks and Applications,,,2022,9,2,10.22247/ijcna/2022/212337,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131226924&doi=10.22247%2fijcna%2f2022%2f212337&partnerID=40&md5=3c3d594ca612f5404e4b0edc42878fd5,EverScience Publications,,15,3DES; Blockchain; BTDEC; Ciphertext; Cloud Service Provider; ECC; EOS; Interplanetary File System,English,Scopus,"In an AI-driven era, data the board is reliant on security confirmation and open commerce. A standard data-sharing organization stage is important in the current data-sharing courses of action, and clients transmit their information to a cloud server for limitation and dispersion. Customers, on the other hand, would lose control of their data the instant it was sent off the server, making security and insurance a major worry. Even though data encryption and access control are regarded as cutting-edge innovations for storing individual data on cloud servers, they only go so far. Regardless, it continues to depend heavily on an external source of validity, the Cloud Service Provider (CSP). To tackle this challenge, they combined blockchain, 3DES ciphertext technology, ECC, and the Interplanetary File System (IPFS). This research focuses on BTDEC, a Blockchain-based Trible Data Elliptic Curve Crypto System for Personal Data. The data holder encrypts the sharing data and saves it on IPFS in this customer-driven way, boosting the decentralization of the arrangement. The standardized data area and unscrambling key will be coupled utilizing 3DES with ECC, and the data owner will disseminate his data-related information and send on keys to data customers using blockchain, according to the built-up confirmation method. The data may only be downloaded and interpreted by the data client whose credits fulfill the confirmation conditions. BTDEC enables the data owner to deny a particular data client at the individual dimension without affecting others, providing him fine-grained network access over his data. When obtaining data, the ciphertext phrase search is almost usually utilized to secure the data customer's security. They investigated BTDEC's security and recreated our technology on the EOS blockchain, proving the concept's validity. Meanwhile, they investigated the limitation and overhead and determined that BTDEC performed well. ©EverScience Publications"
"Yuan K., Yan Y., Shen L., Tang Q., Jia C.","Yuan, K., School of Computer and Information Engineering, Henan University, Kaifeng, 475004, China, Henan Key Laboratory of Big Data Analysis and Processing, Henan University, Kaifeng, 475004, China; Yan, Y., School of Computer and Information Engineering, Henan University, Kaifeng, 475004, China; Shen, L., School of Computer and Information Engineering, Henan University, Kaifeng, 475004, China; Tang, Q., College of Geography and Environmental Science, Henan University, Kaifeng, 475004, China; Jia, C., College of Cybersecurity, Nankai University, Tianjin, 300350, China",Blockchain Security Research Progress and Hotspots,IAENG International Journal of Computer Science,,,2022,49,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131116439&partnerID=40&md5=981f992a9f505d68326ac5ada41695c9,International Association of Engineers,,,Bibliometric analysis; Blockchain security; Research hotspots,English,Scopus,"Blockchain is poised to advance the cause of product innovation and technology evolution as a novel decentralized infrastructure and distributed computing model. However, there are serious security risks in the blockchain itself, which will restrict the development of blockchain and related applications. To better grasp the current status of blockchain security research and explore the research hotspots and frontier, this study used Citespace as a bibliometric analysis tool to collect 3993 research papers between 2014 and 2020 from the WoS Core Collection as a data sample. We conduct a comprehensive overview of blockchain security research in terms of authors, research institutions, publications, countries, citations and keywords in a visual graph. This paper shows that the literature record continues to be refreshed, and it peaked in 2019. China and the USA are the main regions for collaborative research. They have established partnerships with many countries whose research institutions and authors play an important role in the collaborative network. Blockchain security research hotspots are mainly related to “cryptocurrency”, “supply chain”, “smart contract”, “healthcare”, “consensus mechanism”, “fog computing”, “cyber attack” and “Internet of Thing (IoT)”. The lineage of blockchain development has evolved from an early focus on cryptocurrency and blockchain security risk analysis to securing other areas, such as financial systems, the IoT and healthcare through blockchain. In the future, blockchain security research will be combined with much newer technologies to form diverse developments © 2022. IAENG International Journal of Computer Science.All Rights Reserved."
"El Haddouti S., El Kettani M.D.E.-C.","El Haddouti, S., ENSIAS, Mohamed V University in Rabat, Morocco; El Kettani, M.D.E.-C., ENSIAS, Mohamed V University in Rabat, Morocco",A Secure and Trusted Fog Computing Approach based on Blockchain and Identity Federation for a Granular Access Control in IoT Environments,International Journal of Advanced Computer Science and Applications,,,2022,13,3,10.14569/IJACSA.2022.0130368,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129902962&doi=10.14569%2fIJACSA.2022.0130368&partnerID=40&md5=65966293c50d57a061513c913c7b5bb3,Science and Information Organization,,10,Access control; Blockchain; Fog computing; Identity federation; Iot; Smart contracts,English,Scopus,"Fog computing is a new computing paradigm that is an extension of the standard cloud computing model, which can be adopted as a cost effective strategy for managing connected objects, by enabling real-time computing and communication for analytical and decision making. Nonetheless, even though Fog-based Internet of Things networks optimize the standard architecture by moving computing, storage, communication, and control decision closer to the edge network, the technology becomes open to malicious attackers and remains many business risks that are not yet resolved. In fact, access control, privacy as well as trust risks present major challenges in Internet of Things environments based on Fog computing due to the large scale distributed nature of devices at the Fog layer. In addition, the traditional authentication methods are not adequate in Fog-based Internet of Things contexts since they consume significantly more computation power and incur high latency. To deal with these gaps, we present in this paper a secure and trusted Fog Computing approach based on Blockchain and Identity Federation technologies for a granular access control in IoT environments. The proposed scheme uses Smart Contract concept and Attribute-Based Access Control model to ensure the level of security and scalability required for data integrity without resorting to a central authority to make an access decision © 2022. International Journal of Advanced Computer Science and Applications.All Rights Reserved."
"An Q., Zhang Y., Guo C., Liu X., Huang J., Zhang W., Zhang S., Zhan C., Cai Y.","An, Q., Beijing Chuangan BDsecurity Technology Co., Ltd, Beijing, China; Zhang, Y., Beijing Chuangan BDsecurity Technology Co., Ltd, Beijing, China; Guo, C., Internat of Things Security and Trusted Technology Co., Ltd, Xiamen, 361106, China; Liu, X., Beijing Chuangan BDsecurity Technology Co., Ltd, Beijing, China; Huang, J., Beijing Chuangan BDsecurity Technology Co., Ltd, Beijing, China; Zhang, W., University of Science and Technology of China, Hefei, 230026, China; Zhang, S., Beijing Chuangan BDsecurity Technology Co., Ltd, Beijing, China; Zhan, C., Beijing Chuangan BDsecurity Technology Co., Ltd, Beijing, China; Cai, Y., Beijing Chuangan BDsecurity Technology Co., Ltd, Beijing, China",Anonymous Traceability Protocol Based on Group Signature for Blockchain,Security and Communication Networks,,,2022,2022,,10.1155/2022/4559119,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128256052&doi=10.1155%2f2022%2f4559119&partnerID=40&md5=2d90bbeba587fc325b7a1aad10e546bc,Hindawi Limited,,,,English,Scopus,"In blockchain technology, data are stored on decentralized nodes and public to each node in the blockchain network. Hence, the focus of privacy protection in the blockchain guarantees the anonymity of transactions such that attackers cannot attain the users' personal information through data analysis. Among the existing privacy protection technologies, the scheme based on group signature has good anonymity, but the existing scheme exists a large number of operations that are difficult to apply to wireless terminals. In this paper, using the powerful offloading capability of edge computing, we propose a blockchain node traceable identity privacy technology scheme based on threshold group signature, and the scheme greatly reduces the computing burden of nodes while achieving node privacy protection. © 2022 Qi An et al."
