Authors,Author Full Names,Title,Source Title,Document Type,Publisher,Publication Year,Volume,Issue,DOI,Link,ISSN,ISBN,Number of Pages,Author Keywords,Language,Source,Abstract
"Wang S,Li H,Chen J,Wang J,Deng Y","Wang S,Li H,Chen J,Wang J,Deng Y",DAG blockchain-based lightweight authentication and authorization scheme for IoT devices,Journal of Information Security and Applications,Journal Article,Journal of Information Security and Applications,2022,66.0,,10.1016/j.jisa.2022.103134,https://www.sciencedirect.com/science/article/pii/S2214212622000242;http://dx.doi.org/10.1016/j.jisa.2022.103134,2214-2126,,103134,"Internet of Things, IOTA, IPFS, Fog computing, Identity management, Access control, Security",English,ScienceDirect,"As the extension and expansion of the Internet, the Internet of things (IoT) connects things with the network through information sensing equipment to achieve intelligent identification, positioning, monitoring, management and other functions. With the increasing number of IoT users and devices, the demands for secure communication and data confidentiality are getting higher and higher, and the identity authentication and access control of IoT devices has become a huge challenge. In the IoT environment, the traditional device identity and access management methods based on public key infrastructure (PKI) and blockchain bring the problems of single point failure and scalability. The emergence of decentralized storage system and distributed ledger technology directed acyclic graph (DAG) provide new ideas to solve these problems. In the paper, we use distributed ledger technology IOTA with low energy demand to design a lightweight and scalable mechanism to manage the identity of IoT devices and access control of large-scale IoT data, so as to ensure source reliability and sharing security of IoT data. In the new scheme, IOTA technology is used to realize the functions of registration, update, revocation and retrieval of the identity of IoT devices, which solves the defects caused by centralized management. Inter planetary file system (IPFS) is used to store a large amount of data generated by devices in the IoT, which not only reduces the burden on devices and systems of IoT, but also solves the single point of failure, delay and other problems caused by traditional cloud storage. At the same time, the fog node is used to provide localized computing for a group of IoT devices to solve the problem of limited computing resources of IoT devices. In addition, in order to prevent data abuse caused by unauthorized devices accessing network resources, a trusted access control mechanism is designed to achieve fine-grained access control, access policy update and other functions, so as to better maintain the IoT environment and network security. Finally, the performance of the proposed scheme is evaluated through simulation experiments, and the security and functions of the scheme are analyzed, which proves that the scheme meets the security demands of the IoT environment."
"Isaja M,Soldatos JK","Isaja M,Soldatos JK","Distributed Ledger Architecture for Automation, Analytics and Simulation in Industrial Environments",IFAC-PapersOnLine,Journal Article,IFAC-PapersOnLine,2018,51.0,11,10.1016/j.ifacol.2018.08.321,https://www.sciencedirect.com/science/article/pii/S2405896318314459;http://dx.doi.org/10.1016/j.ifacol.2018.08.321,2405-8963,,370-375,"Industrial Automation, Analytics, BlockChain, Edge Computing, Virtualization",English,ScienceDirect,"The advent of Industry4.0 has given rise to a large number of digital manufacturing systems, which are currently used to digitize industry and transform industrial processes like automation, maintenance and quality control. The present paper introduces a first-of-a-kind reference architecture for developing industrial automation systems based on edge computing and blockchain technologies. It also presents the design of a platform that implements this reference architecture with a view to providing functionalities in three complementary domains, namely automation, production systems' virtualization and data analytics. The presented platform is destined to provide some distinct performance and reliability advantages, based on its edge computing and blockchain foundations."
"Petrali P,Isaja M,Soldatos JK","Petrali P,Isaja M,Soldatos JK",Edge Computing and Distributed Ledger Technologies for Flexible Production Lines: A White-Appliances Industry Case,IFAC-PapersOnLine,Journal Article,IFAC-PapersOnLine,2018,51.0,11,10.1016/j.ifacol.2018.08.324,https://www.sciencedirect.com/science/article/pii/S2405896318314484;http://dx.doi.org/10.1016/j.ifacol.2018.08.324,2405-8963,,388-392,"Industrial Automation, Simulation Edge Computing, Distributed Ledger Technologies, White Appliances, Bays, Conveyor",English,ScienceDirect,"Industry 4.0 will enable the development of hyper-efficient plants, which facilitate the implementation of emerging production models such as Made-to-Order and Configure-to-Order. In this direction, the H2020 FAR-EDGE project has introduced a reference architecture and an accompanying platform that facilitates the implementation of digital automation solutions based on edge computing and distributed ledger technologies, which enable fast, reliable and responsive automation. In this paper, we illustrate the use of these technologies for the implementation and deployment of a practical use case in the white appliances industry. Specifically, we present how a sorter component can be automatically programmed in order to ensure that items arriving at a conveyor are optimally placed in various bays. The use case leverages the edge computing paradigm in order to ensure that each physical item is able to communicate its status to all the others. At the same time, distributed ledger technologies enable the modelling of the sorting process as a reliable smart contract among all physical entities. The benefits of the deployment include tangible improvements in productivity, along with a significant reduction in the effort and time needed for the reconfiguration of the sorter."
"Yang J,Lu Z,Wu J","Yang J,Lu Z,Wu J",Smart-toy-edge-computing-oriented data exchange based on blockchain,Journal of Systems Architecture,Journal Article,Journal of Systems Architecture,2018,87.0,,10.1016/j.sysarc.2018.05.001,https://www.sciencedirect.com/science/article/pii/S1383762118300638;http://dx.doi.org/10.1016/j.sysarc.2018.05.001,1383-7621,,36-48,"IoT, Edge-computing, Data exchange, Hyperledger Fabric, Blockchain, Smart toy",English,ScienceDirect,"Smart toy is a specific IoT (Internet of Things) device, and its market demand is growing dramatically. Combined with edge computing technology, smart toy can generate valuable data. Smart toy data exchange is a new powerful area. However, there is no efficient, secure and reliable data exchange mechanism among isolated smart toy data platforms and other IoT systems. In this paper, we propose a smart-toy-edge-computing-oriented data exchange prototype using Hyperledger Fabric v1.0. We target to solve the issue of automatically maintaining a tamper-resistant, reliable and distributed ledger by writing smart contract in the environment where the participants are distrustful of each other. This prototype can simplify the process, save resources and ensure a fair solution of dispute. This method also facilitates the implementation of P2P data exchange among the isolated smart toy and other IoT systems."
"Lakhan A,Mohammed MA,Ibrahim DA,Abdulkareem KH","Lakhan A,Mohammed MA,Ibrahim DA,Abdulkareem KH",Bio-inspired robotics enabled schemes in blockchain-fog-cloud assisted IoMT environment,Journal of King Saud University - Computer and Information Sciences,Journal Article,Journal of King Saud University - Computer and Information Sciences,2021,,,10.1016/j.jksuci.2021.11.009,https://www.sciencedirect.com/science/article/pii/S1319157821003232;http://dx.doi.org/10.1016/j.jksuci.2021.11.009,1319-1578,,,"Bio-inspired robotics, Cost, Searching, Healthcare, IoMT, Blockchain, Service cost, Workflow applications",English,ScienceDirect,"Due to emerging developments in sports games, the usage of bio-ankle sensors has been growing progressively. Whereas, Internet of Medical Things (IoMT) is an emerging network that boosts bio-inspired sensors' performances onto the fog-cloud network. However, a sequence of processes is required to complete the healthcare process for one sportsman. Therefore, workflow-enabled bio-inspired sensors tasks scheduled in IoMT postures different challenges. For instance, cost-efficient scheduling, security, and data validation in distributed hospitals to share their data. In this paper, we devise bio-inspired robotics-enabled schemes in the blockchain-fog-cloud-assisted IoMT environment. The goal is to minimize execution cost and blockchain of applications. Based on the proposed system, the study devises bio-inspired robotics function blockchain task scheduling (BIR-FBTS) schemes, determining the optimal assignment of tasks to the available nodes. The simulation results show that the proposed methods minimized 50% of the service cost and 40% of mined cost in the system compared to all existing bio-inspired healthcare systems."
"Chen S,Yang L,Zhao C,Varadarajan V,Wang K","Chen S,Yang L,Zhao C,Varadarajan V,Wang K",Double-Blockchain Assisted Secure and Anonymous Data Aggregation for Fog-Enabled Smart Grid,Engineering,Journal Article,Engineering,2022,8.0,,10.1016/j.eng.2020.06.018,https://www.sciencedirect.com/science/article/pii/S2095809920302071;http://dx.doi.org/10.1016/j.eng.2020.06.018,2095-8099,,159-169,"Blockchain, Fog computing, Homomorphic encryption, Smart grid, Anonymity",English,ScienceDirect,"As a future energy system, the smart grid is designed to improve the efficiency of traditional power systems while providing more stable and reliable services. However, this efficient and reliable service relies on collecting and analyzing users' electricity consumption data frequently, which induces various security and privacy threats. To address these challenges, we propose a double-blockchain assisted secure and anonymous data aggregation scheme for fog-enabled smart grid named DA-SADA. Specifically, we design a three-tier architecture-based data aggregation framework by integrating fog computing and the blockchain, which provides strong support for achieving efficient and secure data collection in smart grids. Subsequently, we develop a secure and anonymous data aggregation mechanism with low computational overhead by jointly leveraging the Paillier encryption, batch aggregation signature and anonymous authentication. In particular, the system achieves fine-grained data aggregation and provides effective support for power dispatching and price adjustment by the designed double-blockchain and two-level data aggregation. Finally, the superiority of the proposed scheme is illustrated by a series of security and computation cost analyses."
"Bonnah E,Shiguang J","Bonnah E,Shiguang J",DecChain: A decentralized security approach in Edge Computing based on Blockchain,Future Generation Computer Systems,Journal Article,Future Generation Computer Systems,2020,113.0,,10.1016/j.future.2020.07.009,https://www.sciencedirect.com/science/article/pii/S0167739X19323933;http://dx.doi.org/10.1016/j.future.2020.07.009,0167-739X,,363-379,"Blockchain, Edge computing, Security, Scalability, Authentication, Decentralized",English,ScienceDirect,"Security in edge computing paradigms has become a major concern in recent times due to the integral role it plays in the framework of edge computing. Privacy-preserving and data security challenges are among the many concerns impeding the goal of making data storage available and processing at the edge of the network quite difficult to implement. Authenticated users must be the only ones with access to their respective stored data which are protected against any form of intruder manipulation. Most authentication schemes proposed and implemented in edge computing and other paradigms use a trusted entity to initialize the authentication process between edge servers and prospective users. Servers and users are expected to register with the trusted party first before they are able to subsequently authenticate one another. The presence of the trusted party presents scalability issues as well as the threat of having a single point of failure which may threaten the availability of the entire network. In this paper, we present a fully decentralized approach to solving this problem by eliminating the public trusted entity within the network framework termed DecChain. In DecChain we employ some notable principles of permissioned blockchain technology in the rollout and authentication of elements within the network. Authenticated users within our proposed framework would not have to sign in to every service provider to be authenticated to access a service or resource. Security experiments and the deployment of our scheme are carried out to evaluate the performance of DecChain. The results show our scheme is secured and achieves the intended purpose efficiently."
Minoli D,Minoli D,Positioning of blockchain mechanisms in IOT-powered smart home systems: A gateway-based approach,Internet of Things,Journal Article,Internet of Things,2020,10.0,,10.1016/j.iot.2019.100147,https://www.sciencedirect.com/science/article/pii/S2542660519302525;http://dx.doi.org/10.1016/j.iot.2019.100147,2542-6605,,100147,"Home automation, Domotics, IoT, IoT gateways, Middleware bridges, UPnP, UPnP Cloud, ZigBee, Bloothooth Mesh, Blockchains, Proof or work",English,ScienceDirect,"This paper reviews a number of existing smart home Internet of Thing (IoT) automation architectures, providing a credible appraisal of that environment, and, furthermore assesses the applicability of blockchain mechanisms to this use case. Specifically, the paper affords the conclusion that in most instances of home automation, a potential topological place to start the blockchain is in the home gateway that supports the processing and computing required to aggregate or in-network-preprocess the data flows from the various appliances; however, the computing and storage requirements may limit this deployment paradigm to a subset of cases. Alternatively, the place to start the blockchain could be in the fog-to-core gateway point, but in this case this process does not fully guarantee end-to-end integrity. The actual Proof of Work (PoW) functionality would likely be in the core network and not in the relatively low computing-power home gateway. Another alternative envisions private local blockchains to be instituted in the home area network, but still not necessarily for all appliance-generated transactions due to the large volume of such status, event, and usage data."
"Latif SA,Wen FB,Iwendi C,Wang LL,Mohsin SM,Han Z,Band SS","Latif SA,Wen FB,Iwendi C,Wang LL,Mohsin SM,Han Z,Band SS","AI-empowered, blockchain and SDN integrated security architecture for IoT network of cyber physical systems",Computer Communications,Journal Article,Computer Communications,2022,181.0,,10.1016/j.comcom.2021.09.029,https://www.sciencedirect.com/science/article/pii/S0140366421003662;http://dx.doi.org/10.1016/j.comcom.2021.09.029,0140-3664,,274-283,"Internet of things, SDN, Blockchain, Security, Energy efficiency, Cyber physical systems, Industry 4.0",English,ScienceDirect,"Internet of things (IoT) is one of the most emerging technologies nowadays and it is one of the key enablers of industrial cyber physical system (CPSs). It has started to participate in almost every aspect of our social life, ranging from financial transactions to the healthcare system, communication to national security, battlefield to smart homes, and so on. However, the wide deployment of IoT suffers certain issues as well, such as interoperability, compatibility, heterogeneity, large amount of data, processing of heterogeneous data etc. Among others, energy efficiency and security are the utmost prominent issues. Scarce computing resources of IoT devices put hindrances on information sharing across edge or IoT network. Indeed, unintentional or malicious interference with IoT data may lead to severe concerns. In this study, the researcher exploits the potential benefits of a blockchain system and integrates it with software-defined networking (SDN) while justifying energy and security issues. More in detail, the researcher proposed a new routing protocol with the cluster structure for IoT networks using blockchain-based architecture for SDN controller. The proposed architecture obviates proof-of-work (PoW) with private and public blockchains for Peer-to-Peer (P2P) communication between SDN controllers and IoT devices. In addition to this, distributed trust-based authentication mechanism makes blockchain even more adoptive for IoT devices with limited resources. The experimental results show that the proposed cluster structure based routing protocol outperforms the state-of-the-art Ad-hoc On-demand Distance Vector (AODV), Destination-Sequenced Distance Vector (DSDV), Secure Mobile Sensor Network (SMSN), Energy efficient secured cluster based distributed fault diagnosis (EESCFD), and Ad-hoc On-demand Multipath Distance Vector (AOMDV), in terms of energy consumption, network throughput, and packet latency. Proposed protocol help overcome the issues especially, energy management and security of the next generation industrial cyber physical systems."
"Baker T,Asim M,Samwini H,Shamim N,Alani MM,Buyya R","Baker T,Asim M,Samwini H,Shamim N,Alani MM,Buyya R",A blockchain-based Fog-oriented lightweight framework for smart public vehicular transportation systems,Computer Networks,Journal Article,Computer Networks,2022,203.0,,10.1016/j.comnet.2021.108676,https://www.sciencedirect.com/science/article/pii/S138912862100548X;http://dx.doi.org/10.1016/j.comnet.2021.108676,1389-1286,,108676,"Blockchain, Vehicular networks, Fog, Federated learning, Vehicular clouds, Beyond 5G technologies",English,ScienceDirect,"Rapid urbanization is putting a strain on the transport systems of cities worldwide. The effects of this trend include prolonged traffic jams and increasing environmental pollution from rising CO2 emissions. As city planning requires innovative ways of dealing with the rapid urbanization trend, technological solutions were proposed such as cloud computing, smart vehicles, and Vehicular Ad hoc NETwork (VANET). In this paper, we take advantage of next-generation network technologies to propose a responsive and lightweight framework for smart transportation system which employs blockchain for authentication using fog computing's improvement over cloud computing for distributed applications to provide an efficient and secure transportation system. We take into account the future technologies of 5G and Beyond 5G (B5G) and argue that the integration of B5G technologies, federated learning, blockchain, and edge computing provides the perfect platform necessary for a smart transportation system The evaluation of the proposed framework is done by comparing it to the current cloud-based approach in iFogSim, a popular simulation tool for fog computing research. The evaluation of blockchain-based authentication was done using a customized implementation of blockchain executed in an experimental setup. The simulation results showed that the proposed framework provides superior performance in terms of security, latency, and energy consumption of the system."
