"Wang Y., Yu X., Zhang Y., Pei J., Huo W., Huang Y., Yang J.","Wang, Y., School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, 611731, China; Yu, X., School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, 611731, China; Zhang, Y., School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, 611731, China; Pei, J., School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, 611731, China; Huo, W., School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, 611731, China; Huang, Y., School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, 611731, China; Yang, J., School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, 611731, China",An Adaptive SAR and Optical Images Registration Approach Based on SOI-SIFT,International Geoscience and Remote Sensing Symposium (IGARSS),9.78E+12,The Institute of Electrical and Electronics Engineers Geoscience and Remote Sensing Society (GRSS),2022,2022-July,nan,10.1109/IGARSS46834.2022.9884231,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140359143&doi=10.1109%2fIGARSS46834.2022.9884231&partnerID=40&md5=537014f8a89c84d5cabad74955c86ec8,Institute of Electrical and Electronics Engineers Inc.,"2022 IEEE International Geoscience and Remote Sensing Symposium, IGARSS 2022",4,nan,English,Scopus,"SAR and optical images registration is a key step for remote sensing image processing, match navigation and information fusion. Although there are many methods for SAR images registration, their performance will decrease between SAR and optical images. Moreover, these algorithms suffer from lack of matching pairs of the feature points and uneven distribution between SAR and optical images. Therefore, they cannot accurately achieve the registration between optical and SAR images. To solve the above deficiencies, we propose an efficient image registration approach based on SAR and optical image-scale invariant feature transform (SOI-SIFT). Firstly, a linear edge enhancement based on gray feature and histogram equalization is introduced. In this stage, we enhance the edge features of the image so that the number of image feature points can be greatly increased. Then, for feature points purification, we use fast sample consensus algorithm to filter duplicate and wrong matching feature points. SOI-SIFT can be more adapted to the heterogeneous image matching. Experimental results have shown the superiorities of the proposed method. © 2022 IEEE."
"Zhang L., Dong Y.","Zhang, L., Network Platforms Group, Intel Corporation, Beijing, China; Dong, Y., Network Platforms Group, Intel Corporation, Beijing, China",High Performance Crypto for 5G Wireless on x86 Platform,"2022 IEEE 4th International Conference on Power, Intelligent Computing and Systems, ICPICS 2022",9.78E+12,nan,2022,nan,nan,10.1109/ICPICS55264.2022.9873766,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138492284&doi=10.1109%2fICPICS55264.2022.9873766&partnerID=40&md5=759b51a214c898924274c151d3e08c05,Institute of Electrical and Electronics Engineers Inc.,"4th IEEE International Conference on Power, Intelligent Computing and Systems, ICPICS 2022",4,5G; crypto; eMBB; IA; NR; PDCP; QAT; uRLLC,English,Scopus,"The crypto, including ciphering and integrity protection, is a high cycle consumption job inside PDCP in 5G. When 5G RAN is deployed on Cloud and Edge based on general x86 platform, there are two common ways to implement the crypto functions, namely software lib based or hardware acceleration QAT based. The former occupies computing resource, but is quick for small packets, while the latter saves computing resource, but has longer processing latency. Both of them may meet the performance scaling issue, as the packet size varies, especially when eMBB slice and uRLLC slice are both enabled. This paper provides an efficient way to have both high computation performance and low processing latency for crypto functions with Intel Architecture technologies. © 2022 IEEE."
"Jin L., Adu J.","Jin, L., Beihang University, Beijing, China; Adu, J., Kunming University, Kunming, China",Edge Computing Network Ecosystem Based on Blockchain,"Proceedings - 2022 International Conference on Blockchain Technology and Information Security, ICBCTIS 2022",9.78E+12,nan,2022,nan,nan,10.1109/ICBCTIS55569.2022.00033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137371639&doi=10.1109%2fICBCTIS55569.2022.00033&partnerID=40&md5=bd8ad5633ccfbc0dec510766ba8ef183,Institute of Electrical and Electronics Engineers Inc.,"2022 International Conference on Blockchain Technology and Information Security, ICBCTIS 2022",3,protocol identification,English,Scopus,"This paper proposes an edge computing network ecosystem based on blockchain, which solves how to make efficient use of idle edge infrastructure to build a multiparty trusted, secure sharing and automatic analysis of edge node utilization and settlement by contribution system. Through the accurate matching algorithm between the edge node in computing, storage, and network application, the intelligent contract on blockchain is automatically to be performed according to the rules, the trusted measurement. © 2022 IEEE."
"Xu G., Zhang J., Wang L.","Xu, G., School of Software Engineering, Chongqing University of Posts and Telecommunications, Chongqing, China; Zhang, J., School of Software Engineering, Chongqing University of Posts and Telecommunications, Chongqing, China; Wang, L., School of Software Engineering, Chongqing University of Posts and Telecommunications, Chongqing, China",An Edge Computing Data Privacy-Preserving Scheme Based on Blockchain and Homomorphic Encryption,"Proceedings - 2022 International Conference on Blockchain Technology and Information Security, ICBCTIS 2022",9.78E+12,nan,2022,nan,nan,10.1109/ICBCTIS55569.2022.00044,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137358935&doi=10.1109%2fICBCTIS55569.2022.00044&partnerID=40&md5=6b2741d199ae5de9604943729c39d1bc,Institute of Electrical and Electronics Engineers Inc.,"2022 International Conference on Blockchain Technology and Information Security, ICBCTIS 2022",4,blockchain; edge computing; homomorphic encryption; privacy-preserving,English,Scopus,"The rapid increase in the number of mobile smart devices has led to an exponential growth in user data. With the access of a large number of heterogeneous edge devices and the in-depth development of edge computing technology in various fields, it has brought huge challenges to the security management and data privacy protection in the edge computing architecture. Therefore, this paper proposes a lightweight edge computing data privacy-preserving scheme based on blockchain and homomorphic encryption. Above all, set edge computing servers as distributed nodes of the blockchain network and utilize the decentralization of blockchain and the non-tamperable characteristics of information to ensure the distributed storage of data and information recording. Then, designing a blockchain data encryption transmission scheme based on homomorphic encryption which could guarantee data transmission between edge nodes in the form of homomorphic ciphertext. Meanwhile, supporting the verification of the legality and correctness of the transaction in the form of ciphertext. Simulation experiments show that the method proposed in this paper can carry out effective data encryption transmission and has certain application potential. © 2022 IEEE."
"Du R., Gao Y.","Du, R., Hebei University, Hebei Key Laboratory of Highly Trusted Information System, School of Cyber Security and Computer, Baoding, China; Gao, Y., Hebei University, Hebei Key Laboratory of Highly Trusted Information System, School of Cyber Security and Computer, Baoding, China",DTC: A Dynamic Trusted Collaboration Architecture for Mobile Edge Computing,"Proceedings - 52nd Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshop Volume, DSN-W 2022",9.78E+12,et al.;IEEE;IFIP;Johns Hopkins University;KAUST;Siemens,2022,nan,nan,10.1109/DSN-W54100.2022.00038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136158173&doi=10.1109%2fDSN-W54100.2022.00038&partnerID=40&md5=27f722dd3b02a5c162d041fc723a561e,Institute of Electrical and Electronics Engineers Inc.,"52nd Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshop, DSN-W 2022",4,blockchain; collaborative computing; consensus algorithm; improved heuristic algorithm; mobile edge computing,English,Scopus,"Under mobile edge computing (MEC), collaborative computing is a new paradigm to optimize edge network load and server resource allocation. However, there are still issues such as resource imbalance and unreliable identity when collaborative nodes provide computing and caching services for computing devices. Therefore, an efficient and reliable MEC network should be established to manage these challenges. In this paper, a dynamic trusted collaboration scheme is proposed. Specifically, the transaction supervision of nodes in the MEC scenario is first realized through blockchain-based mobile edge computing (BMEC) technology. In BMEC, a management scheme is established laying the foundation for building a trusted MEC environment. Second, a collaborative model is designed. On this basis, it is formulated as an optimization problem based on computing, communication, caching, and energy consumption. The formulation problem is verified to be NP complete. Thus, an improved heuristic algorithm is adopted in this study to solve this problem. Ultimately, the experimental results demonstrate that DTC not only has good performance but also can effectively enhance the reliability of the MEC network compared with other cooperative schemes. © 2022 IEEE."
"Shanthi P., Venkatesh K.","Shanthi, P., Srm Institute of Science and Technology, School of Computing, Department of Networking and Communications, Chennai, India; Venkatesh, K., Srm Institute of Science and Technology, School of Computing, Department of Networking and Communications, Chennai, India",An Analysis of Various Techniques in Blockchain Applications,"Proceedings - 2022 6th International Conference on Intelligent Computing and Control Systems, ICICCS 2022",9.78E+12,nan,2022,nan,nan,10.1109/ICICCS53718.2022.9788137,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133173763&doi=10.1109%2fICICCS53718.2022.9788137&partnerID=40&md5=7415e73518a0052159c8c6be05e3266c,Institute of Electrical and Electronics Engineers Inc.,"6th International Conference on Intelligent Computing and Control Systems, ICICCS 2022",4,Blockchain (BC) technology; Cross chain protocol; Decentralization; Smart contracts,English,Scopus,"Satoshi Nakamoto invented blockchain technology in 2008. This cutting-edge characteristic of technology has given rise to intriguing notions and themes that developers and researchers can use in their work. Transactions in blocks were decentralized, immutable and digital. The blockchain is a chain of connected blocks created using cryptography and hashing techniques. The purpose of blockchain technology is to store and improve the value of data. Blockchain can store important information in blocks. It improves productivity in industries by utilizing Blockchain technique in a wide range of applications. Peer-to-peer networks are a type of network that helps with data storage. The blockchain technology has a real-time updating feature to keep the records of data up to date and consistent. This analysis started with a look at some of the most popular blockchain applications. Existing blockchain applications were examined and a list of its merits in various field was compiled as proof of concept. © 2022 IEEE."
"Baranwal G., Kumar D.","Baranwal, G., Institute of Science Banaras Hindu University, Department of Computer Science, Varanasi, India; Kumar, D., Motilal Nehru National Institute of Technology, Department of Computer Science and Engineering, Prayagraj, India",PoSP: A Novel Proof of Service Placement in Blockchain-based Edge Computing,"2022 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events, PerCom Workshops 2022",9.78E+12,nan,2022,nan,nan,10.1109/PerComWorkshops53856.2022.9767225,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130595004&doi=10.1109%2fPerComWorkshops53856.2022.9767225&partnerID=40&md5=c6201ed53b5ccc682a7be31dacc5e8fe,Institute of Electrical and Electronics Engineers Inc.,"2022 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events, PerCom Workshops 2022",4,Blockchain; Consensus Mechanism; Edge Computing; Service Placement,English,Scopus,"Edge computing provides computing resources for deploying delay-sensitive services. Edge servers are controlled by different owners where mutual distrust may exist among them, and users also hesitate to trust edge service providers. Most of the works related to service placement in edge computing follow centralized architecture, vulnerable to a single-point failure, and assume that the resource allocation method is run by a trusted third party, who may change the allocation results. This work-in-progress proposes a new consensus mechanism, i.e., Proof of Service Placement (PoSP), for a blockchain-based edge computing system to address the issues mentioned above. Experiments show the effectiveness of the work. © 2022 IEEE."
"Zavodovski A., Corneo L., Johnsson A., Mohan N., Bayhan S., Zhou P., Wong W., Kangasharju J.","Zavodovski, A., Uppsala University, Sweden; Corneo, L., Uppsala University, Sweden; Johnsson, A., Uppsala University, Sweden; Mohan, N., Technical University of Munich, Germany; Bayhan, S., University of Twente, Netherlands; Zhou, P., University of Science and Technology of China, China; Wong, W., University of Helsinki, Finland; Kangasharju, J., University of Helsinki, Finland",Decentralizing Computation with Edge Computing: Potential and Challenges,"IWCI 2021 - Proceedings of the 2021 ACM CoNEXT Interdisciplinary Workshop on (de)Centralization in the Internet, Part of ACM CoNEXT 2021",9.78E+12,ACM SIGCOMM,2021,nan,nan,10.1145/3488663.3493689,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121714131&doi=10.1145%2f3488663.3493689&partnerID=40&md5=55aa147f683cceccca0940319590a2e8,"Association for Computing Machinery, Inc","2021 ACM CoNEXT Interdisciplinary Workshop on (de)Centralization in the Internet, IWCI 2021 - Part of ACM CoNEXT 2021",3,Blockchain; Cloud computing; Crowdsourcing; Edge computing,English,Scopus,"Edge computing promises to bring computation close to the end-users to support emergent applications such as virtual reality. However, the computational capacity at the edge of the network is currently limited. To become a pervasive paradigm, edge computing needs highly dispersed decentralized deployments, that, contrary to cloud, cannot benefit from economies of scale. In this situation, crowdsourcing appears attractive - there are plenty of computing devices at the disposal of the general public, and these devices are located exactly where computing power is needed the most - at the edge of the network. Crowdsourcing has been a success maker for scientific computing projects, e.g., SETI@home, or distributed ledger systems empowering decentralized finance. However, as of now, there is no crowdsourced system that addresses the needs of edge computing. In this position paper, we aim to identify the causes of this shortcoming, analyze the potential ways to overcome it, and outline future directions. © 2021 ACM."
"Tulkinbekov K., Kim D.-H.","Tulkinbekov, K., Inha University, Department of Electronic Engineering, Incheon, South Korea; Kim, D.-H., Inha University, Department of Electronic Engineering, Incheon, South Korea",Storing Blockchain Data in Public Storage,"International Conference on Ubiquitous and Future Networks, ICUFN",9.78E+12,nan,2021,2021-August,nan,10.1109/ICUFN49451.2021.9528568,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115610535&doi=10.1109%2fICUFN49451.2021.9528568&partnerID=40&md5=745fc7c02b6c18521a778240ec2dd269,IEEE Computer Society,"12th International Conference on Ubiquitous and Future Networks, ICUFN 2021",3,Blockchain; Distributed Computing; Edge Computing; IoT Data,English,Scopus,"The idea of blockchain has emerged in many applications, including IoT data processing, over the last few years. Because of the guaranteed security, the blockchain is believed to create the backbone of future technologies as a P2P network. However, applying the blockchain protocol in IoT data computing faces a severe challenge related to extensive data management. This paper presents a BlockStore, the method for storing blockchain data in single public storage while maintaining the security features. The BlockStore also resolves the access management and recovery issues among the blockchain nodes. The preliminary experiments prove that the expected research brings a considerable advantage to IoT data management using blockchain.1 © 2021 IEEE."
Benomar Z.,"Benomar, Z., University of Messina, Department of Engineering, Italy",PhD Forum Abstract: I/Ocloud: Adopting the IaaS Paradigm in the Internet of Things,"Proceedings - 2021 IEEE International Conference on Smart Computing, SMARTCOMP 2021",9.78E+12,IEEE Computer Society,2021,nan,nan,10.1109/SMARTCOMP52413.2021.00087,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117588276&doi=10.1109%2fSMARTCOMP52413.2021.00087&partnerID=40&md5=2f73efec782a69d35ff234a0ff90a380,Institute of Electrical and Electronics Engineers Inc.,"7th IEEE International Conference on Smart Computing, SMARTCOMP 2021",2,Cloud computing; Edge computing; IaaS; Internet of Things; Virtualization,English,Scopus,"In most of the actual Internet of Things (IoT) deployments, data processing/management tasks are often delegated to Cloud-based platforms. In such scenarios, the IoT applications' developers see the IoT infrastructure as a mere data provider. To challenge the mainstream consensus on the relationship between the Cloud and IoT and provide flexible, shareable, and reconfigurable IoT deployments, we aim to expand the benefits of the Cloud Infrastructure-as-a-Service (IaaS) paradigm to the IoT world. In particular, our view is to adapt the Cloud metaphors to IoT by merging the two ecosystems at the broadest level. The IoT infrastructure can be seen then as a natural extension of a datacenter by abstracting their hosted I/O resources (e.g., sensors and actuators) through file system virtualization. © 2021 IEEE."
